UUID,Name,time,state
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
5c5de6fd-f462-3688-be2a-5fd135bc0419,Genzick,,logon
5c5de6fd-f462-3688-be2a-5fd135bc0419,Genzick,,logoff
00000000-0000-0000-0000-000000000000,SERVER,,startup
5c5de6fd-f462-3688-be2a-5fd135bc0419,Genzick,,logon
5c5de6fd-f462-3688-be2a-5fd135bc0419,Genzick,,logoff
00000000-0000-0000-0000-000000000000,SERVER,,startup
3873d1c1-4710-393c-bf09-8173ea122cb4,NetheriteCat6,,logoff
960326c1-6557-45f8-a4ad-9aab2a182eb8,Genzick,,logoff
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
960326c1-6557-45f8-a4ad-9aab2a182eb8,Genzick,,logon
3873d1c1-4710-393c-bf09-8173ea122cb4,NetheriteCat6,,logon
3873d1c1-4710-393c-bf09-8173ea122cb4,NetheriteCat6,,logoff
960326c1-6557-45f8-a4ad-9aab2a182eb8,Genzick,,logoff
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
00000000-0000-0000-0000-000000000000,SERVER,,startup
960326c1-6557-45f8-a4ad-9aab2a182eb8,Genzick,,logon
